82C2 00 00 00 24 FD   0
8145 00 E1 05 A5 00  64
813F 00 E1 05 A5 00  73
8141 00 E1 05 27 00  79
8144 00 E1 05 27 00  91
8145 00 E2 05 A5 00  97
813F 00 E2 05 A5 00 106
8141 00 E2 05 27 00 112
8144 00 E2 05 27 00 124
8145 00 E3 05 A5 00 130
813F 00 E3 05 A5 00 139
8141 00 E3 05 27 00 145
8144 00 E3 05 27 00 157
8145 00 E4 05 A5 00 163
813F 00 E4 05 A5 00 172
8141 00 E4 05 27 00 178
8144 00 E4 05 27 00 190
8145 00 E5 05 A5 00 196
813F 00 E5 05 A5 00 205
8141 00 E5 05 27 00 211
8144 00 E5 05 27 00 223
8145 00 E6 05 A5 00 229
813F 00 E6 05 A5 00 238
8141 00 E6 05 27 00 244
8144 00 E6 05 27 00 256
8145 00 E7 05 A5 00 262
813F 00 E7 05 A5 00 271
8141 00 E7 05 27 00 277
8144 00 E7 05 27 00 289
8145 00 E8 05 A5 00 295
813F 00 E8 05 A5 00 304
8141 00 E8 05 27 00 310
8144 00 E8 05 27 00 322
8145 00 E9 05 A5 00 328
813F 00 E9 05 A5 00 337
8141 00 E9 05 27 00   2
8144 00 E9 05 27 00  14
8145 00 EA 05 A5 00  20
813F 00 EA 05 A5 00  29
8141 00 EA 05 27 00  35
8144 00 EA 05 27 00  47
8145 00 EB 05 A5 00  53
813F 00 EB 05 A5 00  62
8141 00 EB 05 27 00  68
8144 00 EB 05 27 00  80
8145 00 EC 05 A5 00  86
813F 00 EC 05 A5 00  95
8141 00 EC 05 27 00 101
8144 00 EC 05 27 00 113
8145 00 ED 05 A5 00 119
813F 00 ED 05 A5 00 128
8141 00 ED 05 27 00 134
8144 00 ED 05 27 00 146
8145 00 EE 05 A5 00 152
813F 00 EE 05 A5 00 161
8141 00 EE 05 27 00 167
8144 00 EE 05 27 00 179
8145 00 EF 05 A5 00 185
813F 00 EF 05 A5 00 194
8141 00 EF 05 27 00 200
8144 00 EF 05 27 00 212
8145 00 F0 05 A5 00 218
813F 00 F0 05 A5 00 227
8141 00 F0 05 27 00 233
8144 00 F0 05 27 00 245
8145 00 F1 05 A5 00 251
813F 00 F1 05 A5 00 260
8141 00 F1 05 27 00 266
8144 00 F1 05 27 00 278
8145 00 F2 05 A5 00 284
813F 00 F2 05 A5 00 293
8141 00 F2 05 27 00 299
8144 00 F2 05 27 00 311
8145 00 F3 05 A5 00 317
813F 00 F3 05 A5 00 326
8141 00 F3 05 27 00 332
8144 00 F3 05 27 00   3
8145 00 F4 05 A5 00   9
813F 00 F4 05 A5 00  18
8141 00 F4 05 27 00  24
8144 00 F4 05 27 00  36
8145 00 F5 05 A5 00  42
813F 00 F5 05 A5 00  51
8141 00 F5 05 27 00  57
8144 00 F5 05 27 00  69
8145 00 F6 05 A5 00  75
813F 00 F6 05 A5 00  84
8141 00 F6 05 27 00  90
8144 00 F6 05 27 00 102
8145 00 F7 05 A5 00 108
813F 00 F7 05 A5 00 117
8141 00 F7 05 27 00 123
8144 00 F7 05 27 00 135
8145 00 F8 05 A5 00 141
813F 00 F8 05 A5 00 150
8141 00 F8 05 27 00 156
8144 00 F8 05 27 00 168
8145 00 F9 05 A5 00 174
813F 00 F9 05 A5 00 183
8141 00 F9 05 27 00 189
8144 00 F9 05 27 00 201
8145 00 FA 05 A5 00 207
813F 00 FA 05 A5 00 216
8141 00 FA 05 27 00 222
8144 00 FA 05 27 00 234
8145 00 FB 05 A5 00 240
813F 00 FB 05 A5 00 249
8141 00 FB 05 27 00 255
8144 00 FB 05 27 00 267
8145 00 FC 05 A5 00 273
813F 00 FC 05 A5 00 282
8141 00 FC 05 27 00 288
8144 00 FC 05 27 00 300
8145 00 FD 05 A5 00 306
813F 00 FD 05 A5 00 315
8141 00 FD 05 27 00 321
8144 00 FD 05 27 00 333
8145 00 FE 05 A5 00 339
813F 00 FE 05 A5 00   7
8141 00 FE 05 27 00  13
8144 00 FE 05 27 00  25
8145 00 FF 05 A5 00  31
813F 00 FF 05 A5 00  40
8141 00 FF 05 27 00  46
8144 00 FF 05 27 00  58
8145 00 00 05 27 00  64
8147 00 00 05 27 00  70
8148 00 00 04 25 00  76
813D 00 00 04 25 00  85
813F 00 00 04 27 00  91
8141 00 00 04 27 00  97
8144 00 00 04 27 00 109
8145 00 01 04 25 00 115
813F 00 01 04 25 00 124
8141 00 01 04 27 00 130
8144 00 01 04 27 00 142
8145 00 02 04 25 00 148
813F 00 02 04 25 00 157
8141 00 02 04 27 00 163
8144 00 02 04 27 00 175
8145 00 03 04 25 00 181
813F 00 03 04 25 00 190
8141 00 03 04 27 00 196
8144 00 03 04 27 00 208
8145 00 04 04 25 00 214
813F 00 04 04 25 00 223
8141 00 04 04 27 00 229
8144 00 04 04 27 00 241
8145 00 05 04 25 00 247
813F 00 05 04 25 00 256
8141 00 05 04 27 00 262
8144 00 05 04 27 00 274
8145 00 06 04 25 00 280
813F 00 06 04 25 00 289
8141 00 06 04 27 00 295
8144 00 06 04 27 00 307
8145 00 07 04 25 00 313
813F 00 07 04 25 00 322
8141 00 07 04 27 00 328
8144 00 07 04 27 00 340
8145 00 08 04 25 00   5
813F 00 08 04 25 00  14
8141 00 08 04 27 00  20
8144 00 08 04 27 00  32
8145 00 09 04 25 00  38
813F 00 09 04 25 00  47
8141 00 09 04 27 00  53
8144 00 09 04 27 00  65
8145 00 0A 04 25 00  71
813F 00 0A 04 25 00  80
8141 00 0A 04 27 00  86
8144 00 0A 04 27 00  98
8145 00 0B 04 25 00 104
813F 00 0B 04 25 00 113
8141 00 0B 04 27 00 119
8144 00 0B 04 27 00 131
8145 00 0C 04 25 00 137
813F 00 0C 04 25 00 146
8141 00 0C 04 27 00 152
8144 00 0C 04 27 00 164
8145 00 0D 04 25 00 170
813F 00 0D 04 25 00 179
8141 00 0D 04 27 00 185
8144 00 0D 04 27 00 197
8145 00 0E 04 25 00 203
813F 00 0E 04 25 00 212
8141 00 0E 04 27 00 218
8144 00 0E 04 27 00 230
8145 00 0F 04 25 00 236
813F 00 0F 04 25 00 245
8141 00 0F 04 27 00 251
8144 00 0F 04 27 00 263
8145 00 10 04 25 00 269
813F 00 10 04 25 00 278
8141 00 10 04 27 00 284
8144 00 10 04 27 00 296
8145 00 11 04 25 00 302
813F 00 11 04 25 00 311
8141 00 11 04 27 00 317
8144 00 11 04 27 00 329
8145 00 12 04 25 00 335
813F 00 12 04 25 00   3
8141 00 12 04 27 00   9
8144 00 12 04 27 00  21
8145 00 13 04 25 00  27
813F 00 13 04 25 00  36
8141 00 13 04 27 00  42
8144 00 13 04 27 00  54
8145 00 14 04 25 00  60
813F 00 14 04 25 00  69
8141 00 14 04 27 00  75
8144 00 14 04 27 00  87
8145 00 15 04 25 00  93
813F 00 15 04 25 00 102
8141 00 15 04 27 00 108
8144 00 15 04 27 00 120
8145 00 16 04 25 00 126
813F 00 16 04 25 00 135
8141 00 16 04 27 00 141
8144 00 16 04 27 00 153
8145 00 17 04 25 00 159
813F 00 17 04 25 00 168
8141 00 17 04 27 00 174
8144 00 17 04 27 00 186
8145 00 18 04 25 00 192
813F 00 18 04 25 00 201
8141 00 18 04 27 00 207
8144 00 18 04 27 00 219
8145 00 19 04 25 00 225
813F 00 19 04 25 00 234
8141 00 19 04 27 00 240
8144 00 19 04 27 00 252
8145 00 1A 04 25 00 258
813F 00 1A 04 25 00 267
8141 00 1A 04 27 00 273
8144 00 1A 04 27 00 285
8145 00 1B 04 25 00 291
813F 00 1B 04 25 00 300
8141 00 1B 04 27 00 306
8144 00 1B 04 27 00 318
8145 00 1C 04 25 00 324
813F 00 1C 04 25 00 333
8141 00 1C 04 27 00 339
8144 00 1C 04 27 00  10
8145 00 1D 04 25 00  16
813F 00 1D 04 25 00  25
8141 00 1D 04 27 00  31
8144 00 1D 04 27 00  43
8145 00 1E 04 25 00  49
813F 00 1E 04 25 00  58
8141 00 1E 04 27 00  64
8144 00 1E 04 27 00  76
8145 00 1F 04 25 00  82
813F 00 1F 04 25 00  91
8141 00 1F 04 27 00  97
8144 00 1F 04 27 00 109
8145 00 20 04 25 00 115
813F 00 20 04 25 00 124
8141 00 20 04 27 00 130
8144 00 20 04 27 00 142
8145 00 21 04 25 00 148
813F 00 21 04 25 00 157
8141 00 21 04 27 00 163
8144 00 21 04 27 00 175
8145 00 22 04 25 00 181
813F 00 22 04 25 00 190
8141 00 22 04 27 00 196
8144 00 22 04 27 00 208
8145 00 23 04 25 00 214
813F 00 23 04 25 00 223
8141 00 23 04 27 00 229
8144 00 23 04 27 00 241
8145 00 24 04 25 00 247
813F 00 24 04 25 00 256
8141 00 24 04 27 00 262
8144 00 24 04 27 00 274
8145 00 25 04 25 00 280
813F 00 25 04 25 00 289
8141 00 25 04 27 00 295
8144 00 25 04 27 00 307
8145 00 26 04 25 00 313
813F 00 26 04 25 00 322
8141 00 26 04 27 00 328
8144 00 26 04 27 00 340
8145 00 27 04 25 00   5
813F 00 27 04 25 00  14
8141 00 27 04 27 00  20
8144 00 27 04 27 00  32
8145 00 28 04 25 00  38
813F 00 28 04 25 00  47
8141 00 28 04 27 00  53
8144 00 28 04 27 00  65
8145 00 29 04 25 00  71
813F 00 29 04 25 00  80
8141 00 29 04 27 00  86
8144 00 29 04 27 00  98
8145 00 2A 04 25 00 104
813F 00 2A 04 25 00 113
8141 00 2A 04 27 00 119
8144 00 2A 04 27 00 131
8145 00 2B 04 25 00 137
813F 00 2B 04 25 00 146
8141 00 2B 04 27 00 152
8144 00 2B 04 27 00 164
8145 00 2C 04 25 00 170
813F 00 2C 04 25 00 179
8141 00 2C 04 27 00 185
8144 00 2C 04 27 00 197
8145 00 2D 04 25 00 203
813F 00 2D 04 25 00 212
8141 00 2D 04 27 00 218
8144 00 2D 04 27 00 230
8145 00 2E 04 25 00 236
813F 00 2E 04 25 00 245
8141 00 2E 04 27 00 251
8144 00 2E 04 27 00 263
8145 00 2F 04 25 00 269
813F 00 2F 04 25 00 278
8141 00 2F 04 27 00 284
8144 00 2F 04 27 00 296
8145 00 30 04 25 00 302
813F 00 30 04 25 00 311
8141 00 30 04 27 00 317
8144 00 30 04 27 00 329
8145 00 31 04 25 00 335
813F 00 31 04 25 00   3
8141 00 31 04 27 00   9
8144 00 31 04 27 00  21
8145 00 32 04 25 00  27
813F 00 32 04 25 00  36
8141 00 32 04 27 00  42
8144 00 32 04 27 00  54
8145 00 33 04 25 00  60
813F 00 33 04 25 00  69
8141 00 33 04 27 00  75
8144 00 33 04 27 00  87
8145 00 34 04 25 00  93
813F 00 34 04 25 00 102
8141 00 34 04 27 00 108
8144 00 34 04 27 00 120
8145 00 35 04 25 00 126
813F 00 35 04 25 00 135
8141 00 35 04 27 00 141
8144 00 35 04 27 00 153
8145 00 36 04 25 00 159
813F 00 36 04 25 00 168
8141 00 36 04 27 00 174
8144 00 36 04 27 00 186
8145 00 37 04 25 00 192
813F 00 37 04 25 00 201
8141 00 37 04 27 00 207
8144 00 37 04 27 00 219
8145 00 38 04 25 00 225
813F 00 38 04 25 00 234
8141 00 38 04 27 00 240
8144 00 38 04 27 00 252
8145 00 39 04 25 00 258
813F 00 39 04 25 00 267
8141 00 39 04 27 00 273
8144 00 39 04 27 00 285
8145 00 3A 04 25 00 291
813F 00 3A 04 25 00 300
8141 00 3A 04 27 00 306
8144 00 3A 04 27 00 318
8145 00 3B 04 25 00 324
813F 00 3B 04 25 00 333
8141 00 3B 04 27 00 339
8144 00 3B 04 27 00  10
8145 00 3C 04 25 00  16
813F 00 3C 04 25 00  25
8141 00 3C 04 27 00  31
8144 00 3C 04 27 00  43
8145 00 3D 04 25 00  49
813F 00 3D 04 25 00  58
8141 00 3D 04 27 00  64
8144 00 3D 04 27 00  76
8145 00 3E 04 25 00  82
813F 00 3E 04 25 00  91
8141 00 3E 04 27 00  97
8144 00 3E 04 27 00 109
8145 00 3F 04 25 00 115
813F 00 3F 04 25 00 124
8141 00 3F 04 27 00 130
8144 00 3F 04 27 00 142
8145 00 40 04 25 00 148
813F 00 40 04 25 00 157
8141 00 40 04 27 00 163
8144 00 40 04 27 00 175
8145 00 41 04 25 00 181
813F 00 41 04 25 00 190
8141 00 41 04 27 00 196
8144 00 41 04 27 00 208
8145 00 42 04 25 00 214
813F 00 42 04 25 00 223
8141 00 42 04 27 00 229
8144 00 42 04 27 00 241
8145 00 43 04 25 00 247
813F 00 43 04 25 00 256
8141 00 43 04 27 00 262
8144 00 43 04 27 00 274
8145 00 44 04 25 00 280
813F 00 44 04 25 00 289
8141 00 44 04 27 00 295
8144 00 44 04 27 00 307
8145 00 45 04 25 00 313
813F 00 45 04 25 00 322
8141 00 45 04 27 00 328
8144 00 45 04 27 00 340
8145 00 46 04 25 00   5
813F 00 46 04 25 00  14
8141 00 46 04 27 00  20
8144 00 46 04 27 00  32
8145 00 47 04 25 00  38
813F 00 47 04 25 00  47
8141 00 47 04 27 00  53
8144 00 47 04 27 00  65
8145 00 48 04 25 00  71
813F 00 48 04 25 00  80
8141 00 48 04 27 00  86
8144 00 48 04 27 00  98
8145 00 49 04 25 00 104
813F 00 49 04 25 00 113
8141 00 49 04 27 00 119
8144 00 49 04 27 00 131
8145 00 4A 04 25 00 137
813F 00 4A 04 25 00 146
8141 00 4A 04 27 00 152
8144 00 4A 04 27 00 164
8145 00 4B 04 25 00 170
813F 00 4B 04 25 00 179
8141 00 4B 04 27 00 185
8144 00 4B 04 27 00 197
8145 00 4C 04 25 00 203
813F 00 4C 04 25 00 212
8141 00 4C 04 27 00 218
8144 00 4C 04 27 00 230
8145 00 4D 04 25 00 236
813F 00 4D 04 25 00 245
8141 00 4D 04 27 00 251
8144 00 4D 04 27 00 263
8145 00 4E 04 25 00 269
813F 00 4E 04 25 00 278
8141 00 4E 04 27 00 284
8144 00 4E 04 27 00 296
8145 00 4F 04 25 00 302
813F 00 4F 04 25 00 311
8141 00 4F 04 27 00 317
8144 00 4F 04 27 00 329
8145 00 50 04 25 00 335
813F 00 50 04 25 00   3
8141 00 50 04 27 00   9
8144 00 50 04 27 00  21
8145 00 51 04 25 00  27
813F 00 51 04 25 00  36
8141 00 51 04 27 00  42
8144 00 51 04 27 00  54
8145 00 52 04 25 00  60
813F 00 52 04 25 00  69
8141 00 52 04 27 00  75
8144 00 52 04 27 00  87
8145 00 53 04 25 00  93
813F 00 53 04 25 00 102
8141 00 53 04 27 00 108
8144 00 53 04 27 00 120
8145 00 54 04 25 00 126
813F 00 54 04 25 00 135
8141 00 54 04 27 00 141
8144 00 54 04 27 00 153
8145 00 55 04 25 00 159
813F 00 55 04 25 00 168
8141 00 55 04 27 00 174
8144 00 55 04 27 00 186
8145 00 56 04 25 00 192
813F 00 56 04 25 00 201
8141 00 56 04 27 00 207
8144 00 56 04 27 00 219
8145 00 57 04 25 00 225
813F 00 57 04 25 00 234
8141 00 57 04 27 00 240
8144 00 57 04 27 00 252
8145 00 58 04 25 00 258
813F 00 58 04 25 00 267
8141 00 58 04 27 00 273
8144 00 58 04 27 00 285
8145 00 59 04 25 00 291
813F 00 59 04 25 00 300
8141 00 59 04 27 00 306
8144 00 59 04 27 00 318
8145 00 5A 04 25 00 324
813F 00 5A 04 25 00 333
8141 00 5A 04 27 00 339
8144 00 5A 04 27 00  10
8145 00 5B 04 25 00  16
813F 00 5B 04 25 00  25
8141 00 5B 04 27 00  31
8144 00 5B 04 27 00  43
8145 00 5C 04 25 00  49
813F 00 5C 04 25 00  58
8141 00 5C 04 27 00  64
8144 00 5C 04 27 00  76
8145 00 5D 04 25 00  82
813F 00 5D 04 25 00  91
8141 00 5D 04 27 00  97
8144 00 5D 04 27 00 109
8145 00 5E 04 25 00 115
813F 00 5E 04 25 00 124
8141 00 5E 04 27 00 130
8144 00 5E 04 27 00 142
8145 00 5F 04 25 00 148
813F 00 5F 04 25 00 157
8141 00 5F 04 27 00 163
8144 00 5F 04 27 00 175
8145 00 60 04 25 00 181
813F 00 60 04 25 00 190
8141 00 60 04 27 00 196
8144 00 60 04 27 00 208
8145 00 61 04 25 00 214
813F 00 61 04 25 00 223
8141 00 61 04 27 00 229
8144 00 61 04 27 00 241
8145 00 62 04 25 00 247
813F 00 62 04 25 00 256
8141 00 62 04 27 00 262
8144 00 62 04 27 00 274
8145 00 63 04 25 00 280
813F 00 63 04 25 00 289
8141 00 63 04 27 00 295
8144 00 63 04 27 00 307
8145 00 64 04 25 00 313
813F 00 64 04 25 00 322
8141 00 64 04 27 00 328
8144 00 64 04 27 00 340
8145 00 65 04 25 00   5
813F 00 65 04 25 00  14
8141 00 65 04 27 00  20
8144 00 65 04 27 00  32
8145 00 66 04 25 00  38
813F 00 66 04 25 00  47
8141 00 66 04 27 00  53
8144 00 66 04 27 00  65
8145 00 67 04 25 00  71
813F 00 67 04 25 00  80
8141 00 67 04 27 00  86
8144 00 67 04 27 00  98
8145 00 68 04 25 00 104
813F 00 68 04 25 00 113
8141 00 68 04 27 00 119
8144 00 68 04 27 00 131
8145 00 69 04 25 00 137
813F 00 69 04 25 00 146
8141 00 69 04 27 00 152
8144 00 69 04 27 00 164
8145 00 6A 04 25 00 170
813F 00 6A 04 25 00 179
8141 00 6A 04 27 00 185
8144 00 6A 04 27 00 197
8145 00 6B 04 25 00 203
813F 00 6B 04 25 00 212
8141 00 6B 04 27 00 218
8144 00 6B 04 27 00 230
8145 00 6C 04 25 00 236
813F 00 6C 04 25 00 245
8141 00 6C 04 27 00 251
8144 00 6C 04 27 00 263
8145 00 6D 04 25 00 269
813F 00 6D 04 25 00 278
8141 00 6D 04 27 00 284
8144 00 6D 04 27 00 296
8145 00 6E 04 25 00 302
813F 00 6E 04 25 00 311
8141 00 6E 04 27 00 317
8144 00 6E 04 27 00 329
8145 00 6F 04 25 00 335
813F 00 6F 04 25 00   3
8141 00 6F 04 27 00   9
8144 00 6F 04 27 00  21
8145 00 70 04 25 00  27
813F 00 70 04 25 00  36
8141 00 70 04 27 00  42
8144 00 70 04 27 00  54
8145 00 71 04 25 00  60
813F 00 71 04 25 00  69
8141 00 71 04 27 00  75
8144 00 71 04 27 00  87
8145 00 72 04 25 00  93
813F 00 72 04 25 00 102
8141 00 72 04 27 00 108
8144 00 72 04 27 00 120
8145 00 73 04 25 00 126
813F 00 73 04 25 00 135
8141 00 73 04 27 00 141
8144 00 73 04 27 00 153
8145 00 74 04 25 00 159
813F 00 74 04 25 00 168
8141 00 74 04 27 00 174
8144 00 74 04 27 00 186
8145 00 75 04 25 00 192
813F 00 75 04 25 00 201
8141 00 75 04 27 00 207
8144 00 75 04 27 00 219
8145 00 76 04 25 00 225
813F 00 76 04 25 00 234
8141 00 76 04 27 00 240
8144 00 76 04 27 00 252
8145 00 77 04 25 00 258
813F 00 77 04 25 00 267
8141 00 77 04 27 00 273
8144 00 77 04 27 00 285
8145 00 78 04 25 00 291
813F 00 78 04 25 00 300
8141 00 78 04 27 00 306
8144 00 78 04 27 00 318
8145 00 79 04 25 00 324
813F 00 79 04 25 00 333
8141 00 79 04 27 00 339
8144 00 79 04 27 00  10
8145 00 7A 04 25 00  16
813F 00 7A 04 25 00  25
8141 00 7A 04 27 00  31
8144 00 7A 04 27 00  43
8145 00 7B 04 25 00  49
813F 00 7B 04 25 00  58
8141 00 7B 04 27 00  64
8144 00 7B 04 27 00  76
8145 00 7C 04 25 00  82
813F 00 7C 04 25 00  91
8141 00 7C 04 27 00  97
8144 00 7C 04 27 00 109
8145 00 7D 04 25 00 115
813F 00 7D 04 25 00 124
8141 00 7D 04 27 00 130
8144 00 7D 04 27 00 142
8145 00 7E 04 25 00 148
813F 00 7E 04 25 00 157
8141 00 7E 04 27 00 163
8144 00 7E 04 27 00 175
8145 00 7F 04 25 00 181
813F 00 7F 04 25 00 190
8141 00 7F 04 27 00 196
8144 00 7F 04 27 00 208
8145 00 80 04 A5 00 214
813F 00 80 04 A5 00 223
8141 00 80 04 27 00 229
8144 00 80 04 27 00 241
8145 00 81 04 A5 00 247
813F 00 81 04 A5 00 256
8141 00 81 04 27 00 262
8144 00 81 04 27 00 274
8145 00 82 04 A5 00 280
813F 00 82 04 A5 00 289
8141 00 82 04 27 00 295
8144 00 82 04 27 00 307
8145 00 83 04 A5 00 313
813F 00 83 04 A5 00 322
8141 00 83 04 27 00 328
8144 00 83 04 27 00 340
8145 00 84 04 A5 00   5
813F 00 84 04 A5 00  14
8141 00 84 04 27 00  20
8144 00 84 04 27 00  32
8145 00 85 04 A5 00  38
813F 00 85 04 A5 00  47
8141 00 85 04 27 00  53
8144 00 85 04 27 00  65
8145 00 86 04 A5 00  71
813F 00 86 04 A5 00  80
8141 00 86 04 27 00  86
8144 00 86 04 27 00  98
8145 00 87 04 A5 00 104
813F 00 87 04 A5 00 113
8141 00 87 04 27 00 119
8144 00 87 04 27 00 131
8145 00 88 04 A5 00 137
813F 00 88 04 A5 00 146
8141 00 88 04 27 00 152
8144 00 88 04 27 00 164
8145 00 89 04 A5 00 170
813F 00 89 04 A5 00 179
8141 00 89 04 27 00 185
8144 00 89 04 27 00 197
8145 00 8A 04 A5 00 203
813F 00 8A 04 A5 00 212
8141 00 8A 04 27 00 218
8144 00 8A 04 27 00 230
8145 00 8B 04 A5 00 236
813F 00 8B 04 A5 00 245
8141 00 8B 04 27 00 251
8144 00 8B 04 27 00 263
8145 00 8C 04 A5 00 269
813F 00 8C 04 A5 00 278
8141 00 8C 04 27 00 284
8144 00 8C 04 27 00 296
8145 00 8D 04 A5 00 302
813F 00 8D 04 A5 00 311
8141 00 8D 04 27 00 317
8144 00 8D 04 27 00 329
8145 00 8E 04 A5 00 335
813F 00 8E 04 A5 00   3
8141 00 8E 04 27 00   9
8144 00 8E 04 27 00  21
8145 00 8F 04 A5 00  27
813F 00 8F 04 A5 00  36
8141 00 8F 04 27 00  42
8144 00 8F 04 27 00  54
8145 00 90 04 A5 00  60
813F 00 90 04 A5 00  69
8141 00 90 04 27 00  75
8144 00 90 04 27 00  87
8145 00 91 04 A5 00  93
813F 00 91 04 A5 00 102
8141 00 91 04 27 00 108
8144 00 91 04 27 00 120
8145 00 92 04 A5 00 126
813F 00 92 04 A5 00 135
8141 00 92 04 27 00 141
8144 00 92 04 27 00 153
8145 00 93 04 A5 00 159
813F 00 93 04 A5 00 168
8141 00 93 04 27 00 174
8144 00 93 04 27 00 186
8145 00 94 04 A5 00 192
813F 00 94 04 A5 00 201
8141 00 94 04 27 00 207
8144 00 94 04 27 00 219
8145 00 95 04 A5 00 225
813F 00 95 04 A5 00 234
8141 00 95 04 27 00 240
8144 00 95 04 27 00 252
8145 00 96 04 A5 00 258
813F 00 96 04 A5 00 267
8141 00 96 04 27 00 273
8144 00 96 04 27 00 285
8145 00 97 04 A5 00 291
813F 00 97 04 A5 00 300
8141 00 97 04 27 00 306
8144 00 97 04 27 00 318
8145 00 98 04 A5 00 324
813F 00 98 04 A5 00 333
8141 00 98 04 27 00 339
8144 00 98 04 27 00  10
8145 00 99 04 A5 00  16
813F 00 99 04 A5 00  25
8141 00 99 04 27 00  31
8144 00 99 04 27 00  43
8145 00 9A 04 A5 00  49
813F 00 9A 04 A5 00  58
8141 00 9A 04 27 00  64
8144 00 9A 04 27 00  76
8145 00 9B 04 A5 00  82
813F 00 9B 04 A5 00  91
8141 00 9B 04 27 00  97
8144 00 9B 04 27 00 109
8145 00 9C 04 A5 00 115
813F 00 9C 04 A5 00 124
8141 00 9C 04 27 00 130
8144 00 9C 04 27 00 142
8145 00 9D 04 A5 00 148
813F 00 9D 04 A5 00 157
8141 00 9D 04 27 00 163
8144 00 9D 04 27 00 175
8145 00 9E 04 A5 00 181
813F 00 9E 04 A5 00 190
8141 00 9E 04 27 00 196
8144 00 9E 04 27 00 208
8145 00 9F 04 A5 00 214
813F 00 9F 04 A5 00 223
8141 00 9F 04 27 00 229
8144 00 9F 04 27 00 241
8145 00 A0 04 A5 00 247
813F 00 A0 04 A5 00 256
8141 00 A0 04 27 00 262
8144 00 A0 04 27 00 274
8145 00 A1 04 A5 00 280
813F 00 A1 04 A5 00 289
8141 00 A1 04 27 00 295
8144 00 A1 04 27 00 307
8145 00 A2 04 A5 00 313
813F 00 A2 04 A5 00 322
8141 00 A2 04 27 00 328
8144 00 A2 04 27 00 340
8145 00 A3 04 A5 00   5
813F 00 A3 04 A5 00  14
8141 00 A3 04 27 00  20
8144 00 A3 04 27 00  32
8145 00 A4 04 A5 00  38
813F 00 A4 04 A5 00  47
8141 00 A4 04 27 00  53
8144 00 A4 04 27 00  65
8145 00 A5 04 A5 00  71
813F 00 A5 04 A5 00  80
8141 00 A5 04 27 00  86
8144 00 A5 04 27 00  98
8145 00 A6 04 A5 00 104
813F 00 A6 04 A5 00 113
8141 00 A6 04 27 00 119
8144 00 A6 04 27 00 131
8145 00 A7 04 A5 00 137
813F 00 A7 04 A5 00 146
8141 00 A7 04 27 00 152
8144 00 A7 04 27 00 164
8145 00 A8 04 A5 00 170
813F 00 A8 04 A5 00 179
8141 00 A8 04 27 00 185
8144 00 A8 04 27 00 197
8145 00 A9 04 A5 00 203
813F 00 A9 04 A5 00 212
8141 00 A9 04 27 00 218
8144 00 A9 04 27 00 230
8145 00 AA 04 A5 00 236
813F 00 AA 04 A5 00 245
8141 00 AA 04 27 00 251
8144 00 AA 04 27 00 263
8145 00 AB 04 A5 00 269
813F 00 AB 04 A5 00 278
8141 00 AB 04 27 00 284
8144 00 AB 04 27 00 296
8145 00 AC 04 A5 00 302
813F 00 AC 04 A5 00 311
8141 00 AC 04 27 00 317
8144 00 AC 04 27 00 329
8145 00 AD 04 A5 00 335
813F 00 AD 04 A5 00   3
8141 00 AD 04 27 00   9
8144 00 AD 04 27 00  21
8145 00 AE 04 A5 00  27
813F 00 AE 04 A5 00  36
8141 00 AE 04 27 00  42
8144 00 AE 04 27 00  54
8145 00 AF 04 A5 00  60
813F 00 AF 04 A5 00  69
8141 00 AF 04 27 00  75
8144 00 AF 04 27 00  87
8145 00 B0 04 A5 00  93
813F 00 B0 04 A5 00 102
8141 00 B0 04 27 00 108
8144 00 B0 04 27 00 120
8145 00 B1 04 A5 00 126
813F 00 B1 04 A5 00 135
8141 00 B1 04 27 00 141
8144 00 B1 04 27 00 153
8145 00 B2 04 A5 00 159
813F 00 B2 04 A5 00 168
8141 00 B2 04 27 00 174
8144 00 B2 04 27 00 186
8145 00 B3 04 A5 00 192
813F 00 B3 04 A5 00 201
8141 00 B3 04 27 00 207
8144 00 B3 04 27 00 219
8145 00 B4 04 A5 00 225
813F 00 B4 04 A5 00 234
8141 00 B4 04 27 00 240
8144 00 B4 04 27 00 252
8145 00 B5 04 A5 00 258
813F 00 B5 04 A5 00 267
8141 00 B5 04 27 00 273
8144 00 B5 04 27 00 285
8145 00 B6 04 A5 00 291
813F 00 B6 04 A5 00 300
8141 00 B6 04 27 00 306
8144 00 B6 04 27 00 318
8145 00 B7 04 A5 00 324
813F 00 B7 04 A5 00 333
8141 00 B7 04 27 00 339
8144 00 B7 04 27 00  10
8145 00 B8 04 A5 00  16
813F 00 B8 04 A5 00  25
8141 00 B8 04 27 00  31
8144 00 B8 04 27 00  43
8145 00 B9 04 A5 00  49
813F 00 B9 04 A5 00  58
8141 00 B9 04 27 00  64
8144 00 B9 04 27 00  76
8145 00 BA 04 A5 00  82
813F 00 BA 04 A5 00  91
8141 00 BA 04 27 00  97
8144 00 BA 04 27 00 109
8145 00 BB 04 A5 00 115
813F 00 BB 04 A5 00 124
8141 00 BB 04 27 00 130
8144 00 BB 04 27 00 142
8145 00 BC 04 A5 00 148
813F 00 BC 04 A5 00 157
8141 00 BC 04 27 00 163
8144 00 BC 04 27 00 175
8145 00 BD 04 A5 00 181
813F 00 BD 04 A5 00 190
8141 00 BD 04 27 00 196
8144 00 BD 04 27 00 208
